Matricula,Razon_Soc,Direccion,Localidad,Partido_Depto,PROVINCIA,CodPost,EMail,Telefono,CUIT,FechaInsc,Actividad
8649,COOP DE CONSUMO LTDA 20 DE JUNIO,Sin datos calle,LOPEZ,SAN JERONIMO,SANTA FE,S2255,,,,22/11/1977,CONSUMO - SOLAMENTE
8650,COOP BANCARIA DE VIVIENDA Y CONSUMO GENERAL ALVEAR LTDA,Sin datos calle,GENERAL ALVEAR (Mza),GENERAL ALVEAR (MZ),MENDOZA,M5620,,,,25/11/1977,VIVIENDA Y CONSTRUCCION - CONSUMO - VIVIENDA
8651,"COOP DE PROVISION, TRANSFORMACION Y COMERCIALIZACION AGRICOLA LAS BARDASLTDA DE VILLA REGINA.",Sin datos calle,GENERAL ROCA (15),GENERAL ROCA (RN),RIO NEGRO,R8332,,,,29/11/1977,DE PROVISION
8655,"COOP DE VIV. LOS RADALES LTDA P' SUBOFICIALES DE EJECITO ARG. DEL DEPTO. LOCAR, NUEQUEN.",Sin datos calle,SAN MARTIN DE LOS ANDES,LACAR,NEUQUEN,Q8370,,,,30/11/1977,VIVIENDA Y CONSTRUCCION - SOLAMENTE
8656,"COOP DE VIV.,CONSUMO Y CREDITO DE LOS EMPLEADOS DEL CASINO PROV. DEL NEUQUEN LTDA",Sin datos calle,NEUQUEN,CONFLUENCIA,NEUQUEN,Q8300,,,30-62980472-9,01/12/1977,VIVIENDA Y CONSTRUCCION - CREDITO Y CONSUMO
8662,"COOP DE CONSUMO,VIVIENDA Y CREDITO DEL PERSONAL VIAL PERITO MORENO LTDA",Sin datos calle,PERITO MORENO,LAGO BUENOS AIRES,SANTA CRUZ,Z9040,,,,06/12/1977,VIVIENDA Y CONSTRUCCION - CREDITO Y CONSUMO
8664,COOP DE CONSUMO SOLDADO MALDONADO LTDA,Sin datos calle,MONTEROS,MONTEROS,TUCUMAN,T4142,,,30-56955675-5,06/12/1977,CONSUMO
8669,"COOP LTDA DE ELECTRICIDAD, OBRAS Y SERVICIOS PUBLICOS, CREDITO Y VIVIENDA DE CARNERILLO",CATAMARCA N° 128,CARNERILLO,JUAREZ CELMAN,CORDOBA,X5805,coopcarnerillo@carnerillo.com.ar,(0358)4883014/299,30-54581380-3,12/12/1977,SERVICIOS PUBLICOS
8671,COOP DE SERVICIOS PUBLICOS VILLAGUAY LTDA,9 DE JULIO N° 560,VILLAGUAY,VILLAGUAY,ENTRE RIOS,E3240,coopvill@clavis.com.ar,(03455) 421963,30-56878471-1,13/12/1977,SERVICIOS PUBLICOS
8676,NUESTRO HOGAR SOC. COOP DE VIVIENDA LTDA,Sin datos calle,NEUQUEN,CONFLUENCIA,NEUQUEN,Q8300,,,30-67272961-7,16/12/1977,VIVIENDA Y CONSTRUCCION
8677,COOP AGRICOLA GANADERA Y FORESTAL PIRANE LTDA,Sin datos calle,PIRANE,PIRANE,FORMOSA,P3606,,,30-60632313-8,16/12/1977,AGROPECUARIA
8680,COOP DE VIV. CREDITO Y CONSUMO CORDOBA LTDA,CORTEZ FUNES N° 6580,CORDOBA,CAPITAL (CBA),CORDOBA,X5003,coviccco@hotmail.com,051/846853,30-57876085-3,19/12/1977,VIVIENDA Y CONSTRUCCION - CREDITO Y CONSUMO
8683,COOP DE TRABAJO DISTRIBUIDORA DE DIARIOS Y REVISTAS BOCA LTDA,MORENO N° 1960 piso 3° Of/Dto/Loc:D,C. Autonoma de Bs As,,CAPITAL FEDERAL,C1025,,954-3680,30-61917248-1,21/12/1977,TRABAJO
8684,COOP DE PROVISION Y CREDITO PARA KIOSQUEROS Y AFINES LTDA,CEUCETO N° 813,SAN JUAN,CAPITAL (SJ),SAN JUAN,J5400,,,,26/12/1977,DE PROVISION
8685,COOP AGROPECUARIA Y DE ELECTRICIDAD MONTE CASEROS LTDA,JUAN PUJOL N° 2310,MONTE CASEROS,MONTE CASEROS,CORRIENTES,W3220,,0775-3789,30-58831764-8,26/12/1977,SERVICIOS PUBLICOS
8686,"COOP ELECTRICA, SERVICIOS PUBLICOS Y ASISTENCIALES DE RIVADAVIA LTDA",LIBERTAD N° 725,LA SELVA,OJO DE AGUA,SANTIAGO DEL ESTERO,G4200,,085-211852,30-58481587-2,27/12/1977,SERVICIOS PUBLICOS
8687,COOP AGROPECUARIA Y DE PROVISION DE ELECTRICIDAD LOMAS DE EMPEDRADO LTDA,RUTA NACIONAL 12 - KM 978,LOMAS DE EMPEDRADO,EMPEDRADO,CORRIENTES,W3418,,,30-66967743-6,28/12/1977,AGROPECUARIA
8688,COOP DE CONSUMO SARGENTO MOYA LTDA,Sin datos calle,MONTEROS,MONTEROS,TUCUMAN,T4142,,,,29/12/1977,CONSUMO - SOLAMENTE
8689,COOP DE PROMOCION Y DESARROLLO REGIONAL LTDA,AV. SAN MARTIN N° 320,RIO TERCERO,TERCERO ARRIBA,CORDOBA,X5850,cooprodrrio3@dat13.com.ar,03571-422003/422738,30-55148067-0,02/01/1978,CREDITO
8690,COOP AGROPECUARIA Y DE PROVISION DE SERVICIOS ELECTRICOS RIACHUELO LTDA,Sin datos calle,RIACHUELO,CAPITAL (CTE),CORRIENTES,W3400,,,30-63741964-8,02/01/1978,AGROPECUARIA
8694,"COOP DE PROVISION DE VIVIENDA, CONSUMO, CREDITO Y SERVICIOS PUBLICOS JOSE MANUEL ESTRADA LTDA",FELIX PAZ N° 1296 B° LOS PLATANOS,CORDOBA,CAPITAL (CBA),CORDOBA,X5000,,480/1997,30-57932093-8,05/01/1978,VIVIENDA Y CONSTRUCCION - SOLAMENTE
8695,"COOP DE CREDITO, CONSUMO Y VIVIENDA DEL PERSONAL DE PETROQUIMICA GENERAL MOSCONI LTDA COPEGEME",AZCUENAGA N° 1928 piso 8° Of/Dto/Loc:C,C. Autonoma de Bs As,,CAPITAL FEDERAL,C1128,,,30-59745554-9,06/01/1978,VIVIENDA Y CONSTRUCCION - CREDITO Y CONSUMO
8696,"COOP DE PROVISION, TRANSFORMACION Y COMERCIALIZACION ARROCERA DE FORMOSA LTDA",Sin datos calle,SAN FRANCISCO DE LAISHI,LAISHI,FORMOSA,P3601,,,,06/01/1978,DE PROVISION
8698,COOP DE PROVISION DE OBRAS Y SERVICIOS PUBLICOS LABORDE LTDA,MANUEL ESTRADA N° 253,LABORDE,UNION,CORDOBA,X2657BME,cooplaborde@yahoo.com.ar,03534-460459/460282,30-59116248-5,12/01/1978,SERVICIOS PUBLICOS
8701,COOP DE PROVISION PARA PRODUCTORES Y DISTRIBUIDORES FRUTI-HORTICOLA NORESTE LTDA,AV. ISRAEL Y SALTA,RESISTENCIA,SAN FERNANDO (CHA),CHACO,H3500,,0722-22749,30-58624713-8,20/01/1978,DE PROVISION - HORT. GRANJ. Y FLORIC.
8705,COOP DE CREDITOS Y PROVISION DE SERVICIOS SAN JORGE LTDA,Sin datos calle,SAN JORGE,SAN MARTIN (SF),SANTA FE,S2451,,,,02/02/1978,CREDITO - SERVICIOS
8707,COOP DE PROVISION DE AGUA POTABLE Y SERVICIOS PUBLICOS Y CONSUMO A.L.A.N. LTDA,,,,SAN JUAN,ACP,,,,06/02/1978,SERVICIOS PUBLICOS - AGUA POTABLE
8708,"COOP DE CREDITO, VIVIENDA Y CONSUMO PARA EL PERSONAL DE LA EMPRESA UNION LTDA",MARIANO FRAGUEIRO N° 3049,CORDOBA,CAPITAL (CBA),CORDOBA,X5000,,,30-06518883-6,09/02/1978,VIVIENDA Y CONSTRUCCION - CREDITO Y CONSUMO
8709,COOP DE VIVIENDA Y CONSUMO TUCUMAN OESTE LTDA,SAN JUAN N° 529,SAN MIGUEL DE TUCUMAN,CAPITAL (TUC),TUCUMAN,T4000,,,30-60153511-0,10/02/1978,VIVIENDA Y CONSTRUCCION - CONSUMO - VIVIENDA
8712,COOP DE TRABAJO CONSUMO CREDITO Y VIVIENDA MARTIN DE PORRES LTDA,CATAMARCA N° 1301,CORDOBA,CAPITAL (CBA),CORDOBA,X5000,,51-7540,30-63633962-4,24/02/1978,TRABAJO - VIVIENDA - CREDITO Y CONSUMO
8715,COOP DE PROVISION DE AGUA POTABLE Y OTROS SERVICIOS PUBLICOS LA CRIOLLA LTDA,Sin datos calle,LA CRIOLLA,CONCORDIA,ENTRE RIOS,E3212,,,30-57172404-5,07/03/1978,SERVICIOS PUBLICOS - AGUA POTABLE
8716,CLUB COOPERATIVO LOS PINOS COOP DE PROVISION DE SERVICIOS DE RECRREACION Y TURISMO LTDA,ITALIA Y GUATEMALA,LUIS GUILLON,ESTEBAN ECHEVERRIA,BUENOS AIRES,B1838,,923-8635,30-55831521-7,07/03/1978,DE PROVISION
8719,COOP DE TRABAJO PARA LA INDUSTRIALIZACION Y COMERCIALIZACION MADERA RINCON DEL DOLL LTDA,Sin datos calle,RINCON DEL DOLL,VICTORIA,ENTRE RIOS,E3101,,,,15/03/1978,TRABAJO
8720,COOP APICOLA MAR Y SIERRA LTDA,ALBERTI N° 4256,MAR DEL PLATA,GENERAL PUEYRREDON,BUENOS AIRES,B7600,,,,16/03/1978,AGROPECUARIA - APICOLA
8724,COOP DE PROVISION DE TRANSPORTE AUTOMOTOR OBRAS OTROS SERVICIOS PUBLICOS Y ASISTENCIALES DE VERONICA,CIRCUNVALACION CUARTA Y DOCE,VERONICA,PUNTA INDIO,BUENOS AIRES,B1917,cotaospav@indiosat.com.ar,02221-480001,30-65655623-0,27/03/1978,DE PROVISION - TRANSPORTE
8729,"COOP DE OBRAS, DESARROLLO, SERVICIOS PUBLICOS Y VIVIENDAS DE SAN JOSE DE LA ESQUINA LTDA",CASTELLANOS N° 576,SAN JOSE DE LA ESQUINA,CASEROS,SANTA FE,S2185,,461070,33-56579046-9,03/04/1978,SERVICIOS PUBLICOS
8730,"COOP DE PROVISION DE AGUA POTABLE, SERV. PUB., CRED.Y ASIST.DE VILLA CNEL. OLMEDO LTDA",AV. I. MUÑECAS N° 53 B° LOC.:VILLA CORONEL OLMEDO,SIN LOCALIDAD (03),SIN DEPARTAMENTO (03),CORDOBA,X5119,,,30-58547069-0,03/04/1978,SERVICIOS PUBLICOS
8732,COOP DE PROVISION DE CARNICEROS DE MORTEROS LTDA,Sin datos calle B° DEPTO SAN JUSTO,MORTEROS,SAN JUSTO (CBA),CORDOBA,X0,,,30-54988136-6,11/04/1978,DE PROVISION - CARNICERIA
8733,COOP DE PROVISION Y COMERCIALIZACION TALLERISTAS TEXTILES LTDA,AV. LORENZO CASEY N° 968,LUJAN,LUJAN,BUENOS AIRES,B6700,cooptextil@speedy.com.ar,02323-421085,30-59495695-4,11/04/1978,DE PROVISION
8736,COOP DE VIVIENDA Y CONSUMO 12 DE JUNIO LTDA,Sin datos calle,MENDOZA,CAPITAL (MZ),MENDOZA,M0,,,,13/04/1978,VIVIENDA Y CONSTRUCCION - CONSUMO - VIVIENDA
8739,COOP DE VIVIENDA Y CONSUMO ROGELIO MANSILLA LTDA,SGTO. CABRAL N° 2095,SAN JUAN,CAPITAL (SJ),SAN JUAN,J5400,,,,20/04/1978,VIVIENDA Y CONSTRUCCION - CONSUMO - VIVIENDA
8741,COOP DE TRABAJO TRANSPORTE DE HACIENDA 12 DE OCTUBRE LTDA,MAYOR CLERICE N° 465,GENERAL DANIEL CERRI,BAHIA BLANCA,BUENOS AIRES,B8105,12deoctubre@rcc.com.ar,0291-4846098,30-56359439-6,26/04/1978,TRABAJO
8744,COOP DE PROVISION DE SERVICIOS DE TRANSPORTE TRENQUE LAUQUEN LTDA,AV. SALINAS N° 1470,TRENQUE LAUQUEN,TRENQUE LAUQUEN,BUENOS AIRES,B6400,,0392-23046,33-59867399-9,27/04/1978,DE PROVISION
8747,SEMILLERA DE TRANCAS COOP AGRICOLA DE COMERCIALIZACION LTDA,Sin datos calle,TRANCAS,TRANCAS,TUCUMAN,T4124,,,,04/05/1978,AGROPECUARIA
8750,"COOP COPENEJA DE CONSUMO, CRERDITO Y VIVIENDA DEL PERSONAL DE FATE NEUMATICOS S.A.I.C.I. LTDA",BLANCO ENCALADA N° 3003,SAN FERNANDO,SAN FERNANDO (BA),BUENOS AIRES,B1646,,,,09/05/1978,VIVIENDA Y CONSTRUCCION
8752,COOP DE PROVISION DE AGUA POTABLE Y OTROS SERVICIOS PUBLICOS DE COLONIA ADELA LTDA,"IDELFONSO CUADRADO 37 B° VILLA ""A""",COLONIA ADELA,CONCORDIA,ENTRE RIOS,E3201,,,30-58475472-5,11/05/1978,SERVICIOS PUBLICOS - AGUA POTABLE
8754,COOP DE AGUA POTABLE Y OTROS SERVICIOS PUBLICOS DE MONES CAZON LTDA,OLAVARRIA Y MITRE,MONES CAZON,PEHUAJO,BUENOS AIRES,B6469,,,30-58243561-4,12/05/1978,SERVICIOS PUBLICOS
8757,COOP DE PROVISION DE SERVICIOS ELECTRICOS Y OTROS SERVICIOS PUBLICOS MOJON DE FIERRO LTDA,BELGRANO N° 1243,FORMOSA,FORMOSA,FORMOSA,P3600,coopmojon@ciudad.com.ar,(03717) 434500,30-58979493-8,17/05/1978,SERVICIOS PUBLICOS
8759,COOP DE CREDITO INDEPENDENCIA LTDA,Sin datos calle,SAN MIGUEL DE TUCUMAN,CAPITAL (TUC),TUCUMAN,T4000,,,,17/05/1978,CREDITO
8761,COOP DE PROVISION DE AGUA POTABLE LORETO LTDA,SARMIENTO N° 404,LORETO (SG),LORETO,SANTIAGO DEL ESTERO,G4208,,,33-56579046-9,19/05/1978,SERVICIOS PUBLICOS - AGUA POTABLE
8762,COOP DE VIVIENDA DE LA EDUCACION NACIONAL PARA OBREROS Y EMPLEADOS LTDA,MANZANA G CASA 18,SAN MIGUEL DE TUCUMAN,CAPITAL (TUC),TUCUMAN,T4000,,,33-65976148-9,22/05/1978,VIVIENDA Y CONSTRUCCION - SOLAMENTE
8766,COOP LTDA DE PROVISION POPULAR DE ELECTRICIDAD Y SERVICIOS ANEXOS DE ROOSELVET,RIVADAVIA N° 6403,ROOSEVELT,RIVADAVIA (BA),BUENOS AIRES,B6403,,,30-62618577-7,26/05/1978,SERVICIOS PUBLICOS
8767,"COOP DE PROV. DE SERV. DE OBRAS, AGUA POTABLE Y OTROS SERV.PUB. PUCARA DE TRUJUI LTDA",J. PUCCINI Y R. GUTIERREZ,TRUJUI,MORENO (BA),BUENOS AIRES,B1664,,,30-57858263-7,30/05/1978,SERVICIOS PUBLICOS - AGUA POTABLE
8768,COOP DE CONSUMO DEL PERSONAL MUNICIPAL DE LA BANDA LTDA (CO.CO.PE.M. LTDA ),Sin datos calle,LA BANDA,BANDA,SANTIAGO DEL ESTERO,G4300,,,,02/06/1978,CONSUMO - SOLAMENTE
8769,COOP DE SERVICIOS PUBLICOS SAN FRANCISCO LTDA,Sin datos calle,SAN FRANCISCO DE LAISHI,LAISHI,FORMOSA,P3601,,,30-54583782-6,07/06/1978,SERVICIOS PUBLICOS
8771,COO-EN-TEC COOP LTDA DE TRABAJO DE ENSENANZA 3 DE JUNIO PARA EL PERSONAL DE LA ESCUELA TECNICA ING,MONSEÑOR DE ANDREA N° 432,CORDOBA,CAPITAL (CBA),CORDOBA,X5003,,0351-4804046,30-60596642-6,12/06/1978,TRABAJO
8773,COOP DE VIVIENDA Y CONSUMO COPACABANA LTDA,LOC. GENERAL SARMIENTO,SIN LOCALIDAD (01),SIN DEPARTAMENTO (01),BUENOS AIRES,B1663,,,,13/06/1978,VIVIENDA Y CONSTRUCCION - CONSUMO - VIVIENDA
8775,"COOP DE VIVIENDA, SERVICIOS PUBLICOS Y CONSUMO TECHOS ARGENTINOS EN CONSTRUCCION (TAC) LTD.","JUAN DIAZ DE SOLIS M ""A"" C 2 D",MAIPU (Mza),MAIPU (MZ),MENDOZA,M5515,,4931062,30-59075671-3,14/06/1978,SERVICIOS PUBLICOS
8776,COOP DE CREDITO PRIMERO DE ENERO LTDA,EMILIO CASTELAR N° 3238,SAN MIGUEL DE TUCUMAN,CAPITAL (TUC),TUCUMAN,T4000,,,,14/06/1978,CREDITO
8777,COOP DE VIVIENDA NUEVO HOGAR LTDA,TUCUMAN N° 716 piso 5°,C. Autonoma de Bs As,,CAPITAL FEDERAL,C1049,,392-8624,,14/06/1978,VIVIENDA Y CONSTRUCCION
8778,COOP DE PROVISION DE AGUA POTABLE Y OTROS SERVICIOS PUBLICOS DE LAS CHACRAS LTDA,"RUTA 18 KM. 14,2",LAS CHACRAS(SL),LIBERTADOR GRAL SAN MARTIN(SL),SAN LUIS,D5753,,,30-65047534-4,15/06/1978,SERVICIOS PUBLICOS - AGUA POTABLE
8781,COOP DE PROVISION DE SERVICIOS ELECTRICOS TEHUELCHES LTDA,AV. JULIO A. ROCA N° 200,GOBERNADOR COSTA (1561),TEHUELCHES,CHUBUT,U9223,cooptehelche@lasegunda.com.ar,(02945) 496053/250,33-54583553-9,16/06/1978,SERVICIOS PUBLICOS
8783,COOP DE PROVISION DE AGUA POTABLE SUMAMPA LTDA,BELGRANO ESQ. 27 DE ABRIL,SUMAMPA,QUEBRACHOS,SANTIAGO DEL ESTERO,G5253,,,30-63064317-8,19/06/1978,SERVICIOS PUBLICOS - AGUA POTABLE
8784,COOP HIPE PARA EL PERS. DE LA EMPRESA GASA GASOGENA ARGENTINA S.A. IND. DE CONSUMO Y CREDITO LTDA,RIVADAVIA N° 68,SALLIQUELO,SALLIQUELO,BUENOS AIRES,B6339,,0394-80391,,19/06/1978,CREDITO - CONSUMO - CREDITO Y CONSUMO
8787,COOP DE PROVISION DE AGUA POTABLE Y OTROS SERVICIOS PUBLICOS LAGUNA BLANCA LTDA,MORENO N° 456,LAGUNA BLANCA,PILCOMAYO,FORMOSA,P3613,,,,21/06/1978,SERVICIOS PUBLICOS - AGUA POTABLE
8789,COOP DE PROVISION DE SERVICIOS PUBLICOS ESPINILLO LTDA,Sin datos calle,EL ESPINILLO,PILAGAS,FORMOSA,P3615,,,30-58480973-2,22/06/1978,SERVICIOS PUBLICOS
8792,COOP DE AGUA POTABLE Y OTROS SERVICIOS PUBLICOS INGENIERO JUAREZ LTDA,Sin datos calle,ING GUILLERMO N JUAREZ,MATACOS,FORMOSA,P3615,,,,26/06/1978,SERVICIOS PUBLICOS - AGUA POTABLE
8795,COOP DE TRABAJO TEXTIL GUALEGUAYCHU LTDA,PELLEGRINI N° 105 piso 5° Of/Dto/Loc:10,GUALEGUAYCHU,GUALEGUAYCHU,ENTRE RIOS,E2820,,,,28/06/1978,TRABAJO
8796,COOP DE PROVISION DE AGUA POTABLE Y OTROS SERVICIOS PUBLICOS DE VILLA HERNANDEZ LTDA,ROCAMORA N° 178,HERNANDEZ,NOGOYA,ENTRE RIOS,E3156BFB,,,30-56793297-0,29/06/1978,SERVICIOS PUBLICOS - AGUA POTABLE
8797,COOP APICOLA FUTALEUFU LTDA,Sin datos calle,TRELEW,RAWSON,CHUBUT,U9100,,,,29/06/1978,AGROPECUARIA - APICOLA
8798,COOP DE PROVISION DE AGUA POTABLE SERODINO LTDA,ZARATE N° 567,SERODINO,IRIONDO,SANTA FE,S2216,copapsel@arnet.com.ar,03476-490210,30-58061846-0,30/06/1978,SERVICIOS PUBLICOS
8799,COOP DE PROVISION DE BIENES Y SERVICIOS Y DE CREDITOS ALLEN LTDA,LEANDRO N. ALEM N° 53,ALLEN,GENERAL ROCA (RN),RIO NEGRO,R8328DHA,,02941-450199,30-61811731-2,30/06/1978,DE PROVISION
8804,COOP AGRICOLA GANADERA UNION Y TRABAJO LTDA,Sin datos calle,SAN FRANCISCO DE LAISHI,LAISHI,FORMOSA,P3601,,,,06/07/1978,AGROPECUARIA - SIN INDUSTRIALIZACION - MIXTA (AGR-GAN)
8805,COOP DE TRANSFORMACION Y COMERCIALIZACION FRUTIHORTICOLA Y FLORICOLA DE PARANA LTDA CO.PA.PA.,Sin datos calle,PARANA,PARANA,ENTRE RIOS,E3100,,,,10/07/1978,AGROPECUARIA
8808,COOP BLANCO CUE LTDA,RUTA PROVINCIAL N° 13 K. 1,MBURUCUYA,MBURUCUYA,CORRIENTES,W3427,,,,12/07/1978,AGROPECUARIA
8810,COOP DE PROVISION DE AGUA POTABLE ATAMISQUI LTDA,LIBERTAD N° 725,VILLA ATAMISQUI,ATAMISQUI,SANTIAGO DEL ESTERO,G4317,,21-1852,30-67506370-9,12/07/1978,SERVICIOS PUBLICOS - AGUA POTABLE
8813,COOP DE PROVISION DE SERVICIOS PARA BIOQUIMICOS REGIONAL DE LABOULANGE LTDA,Sin datos calle,LABOULAYE,PRESIDENTE ROQUE SAENZ PEÑA,CORDOBA,X6120,,,30-58126592-8,13/07/1978,DE PROVISION
8815,"COOP DE PROVISION DE ELECTRICIDAD, CREDITO Y VIVIENDA FORTIN TIBURCIO LTDA",ALBERDI N° 62,FORTIN TIBURCIO,JUNIN (BA),BUENOS AIRES,B6000,,,30-54575909-4,14/07/1978,SERVICIOS PUBLICOS - AGUA POTABLE
8818,"COOP MEDICA DE CREDITO, PROVISION, CONSUMO Y VIVIENDA LTDA",Sin datos calle,LA PLATA,LA PLATA,BUENOS AIRES,B1900,,,,18/07/1978,VIVIENDA Y CONSTRUCCION - CONSUMO - VIVIENDA
8819,COOP DE PROVISION DE AGUA POTABLE Y OTROS SERVICIOS PUBLICOS DE LOS CONQUISTADORES LTDA,Sin datos calle,LOS CONQUISTADORES,FEDERACION,ENTRE RIOS,E3183,,,,18/07/1978,SERVICIOS PUBLICOS - AGUA POTABLE
8820,COOP DE PROVISION Y CREDITO PARA TRANSPORTISTAS DE LA INDUSTRIA LTDA (C.T.I.),BOEDO N° 557,CARRODILLA LA PUNTILLA,LUJAN DE CUYO,MENDOZA,M5505BSK,,,,18/07/1978,DE PROVISION - TRANSPORTE
8828,COOP DE PROVISION DE AGUA POTABLE Y OTROS SERVICIOS PUBLICOS DE UBAJAY LTDA,JUNCAY Y AVDA. LOS PEREGRINOS,UBAJAY,COLON (ER),ENTRE RIOS,E3287,,,30-58243837-0,14/08/1978,SERVICIOS PUBLICOS - AGUA POTABLE
8830,"COOP DE URBANIZACION, VIVIENDA, CONSUMO, OBRAS Y SERVICIOS PUBLICOS 22 DE DICIEMBRE LTDA",ZEVALLOS ESQ. ALEM DE DORREGO,CORONEL DORREGO (12202),GUAYMALLEN,MENDOZA,M5519,,,,21/08/1978,SERVICIOS PUBLICOS
8833,COOP INTEGRAL NUCLEO LTDA,SAN MARTIN N° 1631,CHABAS,CASEROS,SANTA FE,S2173,,03464-481347,30-54344145-3,25/08/1978,CREDITO
8834,COOP DE PROVISION DE SERVICIOS TELEFONICOS EL MAITEN LTDA,Sin datos calle,EL MAITEN,CUSHAMEN,CHUBUT,U9210,,,,25/08/1978,SERVICIOS PUBLICOS - TELEFONICA
8835,COOP DE PROVISION DE AGUA POTABLE Y OTROS SERVICIOS PUBLICOS DE STROBEL LTDA,AV. SAN MARTIN S/N,STROBEL,DIAMANTE,ENTRE RIOS,E3101,,(0343) 4983969,30-62308391-4,28/08/1978,SERVICIOS PUBLICOS - AGUA POTABLE
8836,COOP DE PROVISION DE SERVICIOS DE ADMINISTRACION DE VENTAS A CREDITO CUTRAL-CO Y PLAZA HUINCUL LTDA,AV.ROCA N° 412,CUTRAL CO,CONFLUENCIA,NEUQUEN,Q8322,,(0299)496-1295,30-64277624-6,28/08/1978,"DE PROVISION - SERV. ADM. COM., ASES. VTA."
8837,COOP DE TRABAJO DE TRANSPORTE LA NUEVA LTDA,Sin datos calle,SANTIAGO DEL ESTERO,CAPITAL (SG),SANTIAGO DEL ESTERO,G4200,,,,29/08/1978,TRABAJO - TRANSPORTE
8838,"COOP DE PROV. DE OBRAS, AGUA POT., OTROS SERV. PUB. Y CONS., Bº PARQUE GOLF SIERRA DE LA VENTANA",Sin Calle B° B° PARQUE GOLF,SIERRA DE LA VENTANA,TORNQUIST,BUENOS AIRES,B8168,,,30-69589993-5,30/08/1978,SERVICIOS PUBLICOS
8843,"COOP DE TRABAJO, CREDITO, VIVIENDA Y SERVICIOS ASISTENCIALES PARA TRANSPORTISTAS VICENTE LOPEZ LTDA",AV. E. SIVORI N° 5227,MUNRO,VICENTE LOPEZ,BUENOS AIRES,B1650,,,30-64093200-3,07/09/1978,TRABAJO
8844,"COOP AGRICOLA, COMERCIAL E INDUSTRIAL SANTA ANA LTDA",Sin datos calle,RIO CHICO,RIO CHICO (TU),TUCUMAN,T4153,,,30-58721681-3,07/09/1978,AGROPECUARIA
8845,COOP DE PROVISION DE SERVICIOS DE TRANSPORTE PAGO DE ARECO LTDA,SARMIENTO N° 925,SAN ANTONIO DE ARECO,SAN ANTONIO DE ARECO,BUENOS AIRES,B2760,,,30-57144506-5,11/09/1978,DE PROVISION - TRANSPORTE
8846,COOP AGROPECUARIA COLONIA LA ELISA LTDA,Sin datos calle,SAN ROQUE (S),SAN ROQUE,CORRIENTES,W3448,,,,11/09/1978,AGROPECUARIA
8847,"COOP DE VIVIENDA, CREDITO Y CONSUMO, SERVICIOS SOCIALES Y ASISTENCIALES PARA ASOCIADOS DE LA ASOCIAC",BV. GALVEZ N° 950,SANTA FE,LA CAPITAL (SF),SANTA FE,S3000,,,,12/09/1978,VIVIENDA Y CONSTRUCCION - SOLAMENTE
8852,"COOP DE PROVISION, ELECTRICIDAD, SERVICIOS PUBLICOS, SOCIALES Y DE VIVIENDA CALCHIN OESTE LTDA",ESTANISLAO DEL CAMPO,CALCHIN OESTE,RIO SEGUNDO,CORDOBA,X5964,,,30-58243868-0,18/09/1978,SERVICIOS PUBLICOS
8854,"COOP AGRICOLA, FORESTAL Y GANADERA DE SALAVINA LTDA",Sin datos calle,SALAVINA,SALAVINA,SANTIAGO DEL ESTERO,G4319,,,,20/09/1978,AGROPECUARIA
8856,COOP UNION Y PROGRESO DE CONSUMO Y CREDITO DE EMPLEADOS ESTATALES LTDA,Sin datos calle,SAN JUAN,CAPITAL (SJ),SAN JUAN,J5400,,,,21/09/1978,CONSUMO - CREDITO
8857,COOP DE CREDITO PERSONAL INTA MANFREDI LTDA (COOPERINMAN),Sin datos calle,RIO SEGUNDO,RIO SEGUNDO,CORDOBA,X5960,,,,22/09/1978,CREDITO
8858,"COOP DE CREDITO, CONSUMO Y VIVIENDA FRANCISCO NARCISO LAPRIDA LTDA",Sin datos calle,SAN JUAN,CAPITAL (SJ),SAN JUAN,J5400,,,,22/09/1978,VIVIENDA Y CONSTRUCCION - CREDITO Y CONSUMO
8859,COOP ARGENTINA DE TRABAJO Y TECNOLOGIA LTDA (C.A.T.T.A.L.),Sin datos calle,POSADAS,CAPITAL (MI),MISIONES,N3300,,,30-61937950-7,25/09/1978,TRABAJO
8860,"COOP DE PROVISION DE SERVICIOS TELEFONICOS, OBRAS Y SERVICIOS PUBLICOS DE SANFORD LTDA",HENRI DUNANT N° 670,SANFORD,CASEROS,SANTA FE,S2173,sanford@data1.net.ar,03464-496104/299/350,30-59399690-1,25/09/1978,SERVICIOS PUBLICOS
8861,"COOP DE TRANSFORMACION Y COMERCIALIZACION DEL TABACO, VIV. YSERV. ASIST. LA TUCUMANA LTDA",Sin datos calle,LA COCHA,LA COCHA,TUCUMAN,T4162,,,,26/09/1978,AGROPECUARIA
8864,COOP TELEFONICA DE NECHONGUE LTDA,"4, ENTRE 3 Y 5 N° 220",MECHONGUE,GENERAL ALVARADO,BUENOS AIRES,B7605XAA,,,30-54583492-4,29/09/1978,SERVICIOS PUBLICOS
8866,BICA COOP DE EMPRENDIMIENTOS MULTIPLES LTDA,25 DE MAYO N° 1774,SANTO TOME (SF),LA CAPITAL (SF),SANTA FE,S3016,bicaceml@bica.com.ar,0342-4502000/4502079,33-57449458-9,27/09/1978,CREDITO
